Family	Rust
1	7
1	7
2	7
2	7
3	5
3	4
4	7
4	7
5	8
5	7
6	7
6	7
7	7
7	6
8	9
8	9
9	9
9	9
10	9
10	9
11	7
11	7
12	9
12	9
14	9
14	9
15	7
15	7
16	4
16	5
18	2
18	2
19	9
19	7
20	9
20	9
21	7
21	9
22	6
22	7
23	9
23	9
24	9
24	9
26	6
26	4
27	3
27	3
28	9
28	8
29	3
29	3
30	5
30	8
31	4
31	7
32	4
32	6
33	4
33	4
34	5
34	7
35	6
35	5
36	6
36	3
37	6
37	6
39	7
39	7
40	9
40	9
41	7
41	7
42	9
42	9
43	7
43	7
44	9
44	7
45	3
45	2
46	9
46	9
47	9
47	9
48	4
48	7
49	4
49	3
50	7
50	7
51	9
51	9
53	3
53	5
54	6
54	5
55	3
55	3
56	6
56	7
57	6
57	7
58	9
58	9
59	9
59	9
60	7
60	8
61	7
61	9
62	9
62	9
63	4
63	5
64	6
64	6
65	2
65	5
66	8
66	8
68	7
68	8
69	7
69	7
70	9
70	7
71	9
71	9
73	6
73	7
74	6
74	7
75	8
75	5
76	4
76	8
78	6
78	7
79	7
79	7
80	9
80	6
81	9
81	8
82	5
82	2
83	6
83	4
84	7
84	8
85	9
85	6
87	9
87	9
88	7
88	7
89	7
89	8
91	9
91	9
93	7
93	8
95	7
95	7
96	7
96	6
97	9
97	9
98	2
98	6
99	9
99	7
100	8
100	7
101	5
101	6
102	2
102	6
104	7
104	7
105	7
105	6
106	9
106	9
107	6
107	8
109	9
109	9
110	7
110	7
111	7
111	7
112	9
112	9
113	7
113	7
114	4
114	4
115	9
115	9
116	7
116	6
117	9
117	9
118	4
118	6
123	7
123	4
124	5
124	6
125	7
125	8
126	8
126	7
128	9
128	9
129	5
129	7
130	9
130	9
131	6
131	7
132	9
132	9
133	9
133	8
134	9
134	9
135	4
135	7
136	7
136	9
137	9
137	9
138	7
138	6
139	6
139	6
140	6
140	7
141	7
141	6
142	9
142	9
143	5
143	6
145	7
145	8
146	6
146	6
147	7
147	7
148	9
148	9
149	2
149	2
150	6
150	7
151	7
151	7
152	4
152	7
153	7
153	7
155	4
155	5
157	7
157	8
158	7
158	9
159	9
159	9
160	2
160	2
161	5
161	5
162	7
162	6
